species	gene
D._alloeum	homeobox_protein_Nkx-6.2
D._alloeum	hormone_receptor_4
D._alloeum	unconventional_myosin-XIX
D._alloeum	phospholipase_D1
D._alloeum	ubiquitin-conjugating_enzyme_E2_L3
D._alloeum	CD151_antigen
D._alloeum	open_rectifier_potassium_channel_protein_1
D._alloeum	protein_lin-9_homolog
D._alloeum	uncharacterized_LOC107035734
F._arisanus	phospholipase_D1
F._arisanus	DNA_replication_ATP-dependent_helicase/nuclease_DNA2
F._arisanus	ubiquitin-conjugating_enzyme_E2_L3
F._arisanus	hormone_receptor_4
F._arisanus	open_rectifier_potassium_channel_protein_1
M._demolitor	hormone_receptor_4
M._demolitor	protein_lin-9_homolog
